FIPS,State,County,obesity_rate,median_household_income,physical_inactivity_rate,population_over_65,uninsured_adults_pct,rural_pct,children_in_poverty_pct,pcp_rate,insured_coverage_pct,health_insurance_coverage,urban_rural,poverty_level,diabetes_rate
51091.0,Virginia,Highland,33.8,56021.0,20.4,38.991021804,9.5238095238,100.0,21.0,134.77089,90.4761904762,Medium,Rural,High Poverty,9.0
51093.0,Virginia,Isle of Wight,38.9,88536.0,22.5,20.441649677,7.1042668141,58.454644356,9.7,40.73527,92.8957331859,High,Rural,Low Poverty,11.0
51095.0,Virginia,James City,33.8,109735.0,16.7,27.242480703,6.948745205,14.161576405,8.4,111.41434,93.051254795,High,Urban,Low Poverty,9.0
51097.0,Virginia,King and Queen,41.8,66578.0,27.0,24.866071429,10.668708525,100.0,18.4,30.02101,89.331291475,Low,Rural,Medium Poverty,13.0
51099.0,Virginia,King George,35.2,101323.0,19.7,14.694763372,7.1260306243,100.0,7.5,21.82691,92.8739693757,High,Rural,Low Poverty,10.0
51101.0,Virginia,King William,38.5,88124.0,22.2,17.167630058,8.1649078877,100.0,8.6,33.01965,91.8350921123,High,Rural,Low Poverty,10.0
51103.0,Virginia,Lancaster,40.6,66220.0,23.6,38.797310986,11.223458038,100.0,21.7,36.60322,88.776541962,Low,Rural,High Poverty,12.0
51105.0,Virginia,Lee,40.5,44110.0,28.0,23.679006668,9.6241657885,100.0,28.5,31.84279,90.3758342115,Medium,Rural,High Poverty,14.0
51107.0,Virginia,Loudoun,28.6,173655.0,16.0,11.392538507,6.5125510885,11.94653161,4.0,76.00703,93.4874489115,High,Urban,Low Poverty,9.0
51109.0,Virginia,Louisa,38.9,79459.0,19.8,21.551282989,9.3997639521,100.0,13.2,10.29654,90.6002360479,Medium,Rural,Low Poverty,11.0
51111.0,Virginia,Lunenburg,42.7,51013.0,27.7,23.999003157,12.690872073,100.0,23.2,16.77008,87.309127927,Low,Rural,High Poverty,15.0
51113.0,Virginia,Madison,37.0,76864.0,21.8,23.754246886,10.296529968,100.0,13.3,7.17257,89.703470032,Low,Rural,Medium Poverty,10.0
51115.0,Virginia,Mathews,33.3,73034.0,20.5,32.581630256,7.8704744772,100.0,14.6,35.10414,92.1295255228,High,Rural,Medium Poverty,10.0
51117.0,Virginia,Mecklenburg,41.4,53288.0,26.4,27.554815975,10.954305253,83.258023022,20.8,56.20206,89.045694747,Low,Rural,Medium Poverty,14.0
51119.0,Virginia,Middlesex,40.1,67586.0,24.1,33.952764555,12.354355465,100.0,19.3,37.10231,87.645644535,Low,Rural,Medium Poverty,11.0
51121.0,Virginia,Montgomery,35.8,67620.0,21.4,14.483205968,6.771041085,26.084776527,12.7,72.10098,93.228958915,High,Urban,Low Poverty,11.0
51125.0,Virginia,Nelson,34.8,77049.0,22.4,30.438626318,13.200815494,100.0,17.8,81.1359,86.799184506,Low,Rural,Medium Poverty,11.0
51127.0,Virginia,New Kent,37.2,115854.0,18.4,18.921711181,8.1169046828,100.0,6.9,29.29238,91.8830953172,High,Rural,Low Poverty,10.0
51131.0,Virginia,Northampton,41.8,53822.0,24.8,30.704600283,11.145612028,100.0,27.0,107.57137,88.854387972,Low,Rural,High Poverty,13.0
51133.0,Virginia,Northumberland,38.8,69662.0,22.8,37.494956016,10.697674419,100.0,22.7,83.13243,89.302325581,Low,Rural,High Poverty,11.0
51135.0,Virginia,Nottoway,44.4,58168.0,29.9,18.681742259,10.660603764,100.0,23.3,38.47634,89.339396236,Low,Rural,High Poverty,15.0
51137.0,Virginia,Orange,36.8,82738.0,22.2,20.918235081,9.1118435906,56.683400452,12.1,45.71367,90.8881564094,Medium,Rural,Low Poverty,10.0
51139.0,Virginia,Page,40.2,57960.0,23.9,22.854976623,10.224059169,79.999156438,17.2,25.20267,89.775940831,Low,Rural,Medium Poverty,11.0
51141.0,Virginia,Patrick,40.8,51200.0,25.0,27.8085556,9.4032359739,100.0,19.3,22.72469,90.5967640261,Medium,Rural,Medium Poverty,11.0
51143.0,Virginia,Pittsylvania,43.9,54627.0,29.2,25.463732353,9.8470248133,89.061337829,16.7,8.33722,90.1529751867,Low,Rural,Medium Poverty,13.0
51145.0,Virginia,Powhatan,35.8,100814.0,18.0,20.638529824,6.8818940005,98.091187815,6.7,54.59918,93.1181059995,High,Rural,Low Poverty,9.0
51147.0,Virginia,Prince Edward,43.0,55264.0,27.9,17.179917457,9.5126522962,66.735319694,28.5,63.83367,90.4873477038,Medium,Rural,High Poverty,14.0
